securities_trader,price,buy,sell,securities_trader_id,stock_id,date
亞東板橋,129.9,1000,0,2181,0050,2023-12-05
亞東板橋,130.0,1000,0,2181,0050,2023-12-05
亞東板橋,130.1,1000,0,2181,0050,2023-12-05
亞東板橋,130.2,1000,0,2181,0050,2023-12-05
大展,130.0,1000,0,5050,0050,2023-12-05
大展,130.05,1000,5000,5050,0050,2023-12-05
大展,130.3,1000,0,5050,0050,2023-12-05
美好,129.95,5000,0,5260,0050,2023-12-05
美好,130.0,10000,0,5260,0050,2023-12-05
美好,130.05,28000,0,5260,0050,2023-12-05
美好,130.1,14000,0,5260,0050,2023-12-05
美好,130.15,5000,0,5260,0050,2023-12-05
美好,130.2,40000,0,5260,0050,2023-12-05
美好,130.25,65000,0,5260,0050,2023-12-05
美好,130.3,30000,0,5260,0050,2023-12-05
美好,130.35,4000,0,5260,0050,2023-12-05
美好,130.4,577,0,5260,0050,2023-12-05
美好蘆洲,130.0,1000,0,5261,0050,2023-12-05
美好蘆洲,130.2,0,1000,5261,0050,2023-12-05
美好蘆洲,130.4,126,0,5261,0050,2023-12-05
美好楊梅,130.0,1000,0,5262,0050,2023-12-05
美好楊梅,130.1,50,0,5262,0050,2023-12-05
美好楊梅,130.3,100,0,5262,0050,2023-12-05
美好楊梅,130.4,346,0,5262,0050,2023-12-05
美好楊梅,130.6,10000,0,5262,0050,2023-12-05
美好泰山,130.4,225,0,5263,0050,2023-12-05
美好高雄,130.4,44,0,5264,0050,2023-12-05
美好苗栗,130.15,90,0,5265,0050,2023-12-05
美好苗栗,130.25,1000,0,5265,0050,2023-12-05
美好苗栗,130.3,1000,0,5265,0050,2023-12-05
美好苗栗,130.4,83,0,5265,0050,2023-12-05
美好中壢,130.2,0,500,5266,0050,2023-12-05
美好中壢,130.4,555,0,5266,0050,2023-12-05
美好基隆,130.4,370,0,5267,0050,2023-12-05
美好台南,130.15,15,0,5268,0050,2023-12-05
美好台南,130.3,30,0,5268,0050,2023-12-05
美好台南,130.4,90,0,5268,0050,2023-12-05
美好台中,130.0,1000,0,5269,0050,2023-12-05
美好台中,130.2,0,2000,5269,0050,2023-12-05
美好中和,130.15,10,0,526A,0050,2023-12-05
美好中和,130.4,138,0,526A,0050,2023-12-05
美好富順,130.05,5000,0,526K,0050,2023-12-05
美好富順,130.4,202,0,526K,0050,2023-12-05
高橋,130.1,1000,0,5320,0050,2023-12-05
高橋,130.2,200,1000,5320,0050,2023-12-05
高橋,130.25,360,0,5320,0050,2023-12-05
高橋,130.3,225,0,5320,0050,2023-12-05
高橋,130.35,200,80,5320,0050,2023-12-05
高橋,130.6,5000,0,5320,0050,2023-12-05
高橋龍潭,130.0,1000,0,5321,0050,2023-12-05
高橋龍潭,130.2,100,0,5321,0050,2023-12-05
高橋龍潭,130.25,230,0,5321,0050,2023-12-05
第一金證,130.1,1000,0,5380,0050,2023-12-05
第一金證,130.15,0,1000,5380,0050,2023-12-05
第一金證,130.2,50,0,5380,0050,2023-12-05
第一金證,130.25,1000,0,5380,0050,2023-12-05
第一員林,130.0,1000,0,5381,0050,2023-12-05
第一員林,130.1,21,0,5381,0050,2023-12-05
第一員林,130.2,127,0,5381,0050,2023-12-05
第一員林,130.25,1021,0,5381,0050,2023-12-05
第一員林,130.35,200,0,5381,0050,2023-12-05
第一員林,130.4,10,0,5381,0050,2023-12-05
第一台中,130.2,40,0,5382,0050,2023-12-05
第一台中,130.25,25,0,5382,0050,2023-12-05
第一台中,130.4,0,456,5382,0050,2023-12-05
第一高雄,130.1,30,0,5383,0050,2023-12-05
第一高雄,130.25,1050,0,5383,0050,2023-12-05
第一高雄,130.3,5015,0,5383,0050,2023-12-05
第一台南,130.1,2000,0,5384,0050,2023-12-05
第一台南,130.15,5260,0,5384,0050,2023-12-05
第一台南,130.25,270,0,5384,0050,2023-12-05
第一台南,130.3,100,0,5384,0050,2023-12-05
第一台南,130.5,3000,0,5384,0050,2023-12-05
第一台南,130.55,2000,0,5384,0050,2023-12-05
第一桃園,129.9,1000,0,5385,0050,2023-12-05
第一桃園,130.0,1000,0,5385,0050,2023-12-05
第一桃園,130.05,100,0,5385,0050,2023-12-05
第一桃園,130.1,100,0,5385,0050,2023-12-05
第一桃園,130.15,200,0,5385,0050,2023-12-05
第一桃園,130.25,1100,0,5385,0050,2023-12-05
第一桃園,130.3,300,0,5385,0050,2023-12-05
第一桃園,130.4,5100,0,5385,0050,2023-12-05
第一彰化,129.9,1000,0,5386,0050,2023-12-05
第一彰化,130.1,400,0,5386,0050,2023-12-05
第一彰化,130.15,60,0,5386,0050,2023-12-05
第一彰化,130.2,2,0,5386,0050,2023-12-05
第一彰化,130.25,10,0,5386,0050,2023-12-05
第一彰化,130.3,35,0,5386,0050,2023-12-05
第一澎湖,130.1,130,0,5387,0050,2023-12-05
第一澎湖,130.25,224,0,5387,0050,2023-12-05
第一澎湖,130.3,10,200,5387,0050,2023-12-05
第一澎湖,130.35,600,0,5387,0050,2023-12-05
第一中山,130.0,1000,0,5389,0050,2023-12-05
第一中山,130.05,100,0,5389,0050,2023-12-05
第一中山,130.25,20,0,5389,0050,2023-12-05
第一中山,130.3,0,30,5389,0050,2023-12-05
第一新興,130.25,19,0,538A,0050,2023-12-05
第一新竹,129.9,2000,0,538B,0050,2023-12-05
第一新竹,130.0,3000,0,538B,0050,2023-12-05
第一新竹,130.1,100,0,538B,0050,2023-12-05
第一新竹,130.25,1135,8000,538B,0050,2023-12-05
第一新竹,130.4,86,0,538B,0050,2023-12-05
第一新竹,130.6,2000,0,538B,0050,2023-12-05
第一光復,130.1,5039,0,538C,0050,2023-12-05
第一光復,130.25,100,0,538C,0050,2023-12-05
第一光復,130.3,5100,0,538C,0050,2023-12-05
第一光復,130.4,0,900,538C,0050,2023-12-05
第一忠孝,130.15,500,0,538D,0050,2023-12-05
第一忠孝,130.2,45,0,538D,0050,2023-12-05
