securities_trader,price,buy,sell,securities_trader_id,stock_id,date
凱基松山,306.0,2000,2000,9217,2308,2023-11-15
凱基松山,306.5,0,4000,9217,2308,2023-11-15
凱基松山,307.0,2000,4000,9217,2308,2023-11-15
凱基松山,307.5,0,7000,9217,2308,2023-11-15
凱基松山,308.0,0,3000,9217,2308,2023-11-15
凱基松山,14.5,1000,0,9217,2312,2023-11-15
凱基松山,14.7,0,1000,9217,2312,2023-11-15
凱基松山,57.0,0,3000,9217,2313,2023-11-15
凱基松山,57.1,2000,0,9217,2313,2023-11-15
凱基松山,57.2,11000,0,9217,2313,2023-11-15
凱基松山,57.3,0,4000,9217,2313,2023-11-15
凱基松山,57.5,1000,11000,9217,2313,2023-11-15
凱基松山,57.6,1000,0,9217,2313,2023-11-15
凱基松山,57.8,100,0,9217,2313,2023-11-15
凱基松山,57.9,0,1000,9217,2313,2023-11-15
凱基松山,58.0,1200,22000,9217,2313,2023-11-15
凱基松山,58.2,0,1000,9217,2313,2023-11-15
凱基松山,58.3,0,1000,9217,2313,2023-11-15
凱基松山,58.5,4000,0,9217,2313,2023-11-15
凱基松山,36.65,1000,0,9217,2316,2023-11-15
凱基松山,36.75,0,82,9217,2316,2023-11-15
凱基松山,36.8,0,1000,9217,2316,2023-11-15
凱基松山,99.9,0,118000,9217,2317,2023-11-15
凱基松山,100.0,6209,3000,9217,2317,2023-11-15
凱基松山,100.5,4185,1000,9217,2317,2023-11-15
凱基松山,101.0,0,3000,9217,2317,2023-11-15
凱基松山,10.75,0,1000,9217,2323,2023-11-15
凱基松山,10.8,0,1000,9217,2323,2023-11-15
凱基松山,10.85,0,20000,9217,2323,2023-11-15
凱基松山,10.9,0,1000,9217,2323,2023-11-15
凱基松山,11.1,0,1000,9217,2323,2023-11-15
凱基松山,11.15,0,3000,9217,2323,2023-11-15
凱基松山,11.2,0,8000,9217,2323,2023-11-15
凱基松山,30.35,0,7000,9217,2324,2023-11-15
凱基松山,548.0,4,0,9217,2327,2023-11-15
凱基松山,549.0,1000,0,9217,2327,2023-11-15
凱基松山,554.0,0,100,9217,2327,2023-11-15
凱基松山,34.85,190,0,9217,2328,2023-11-15
凱基松山,35.2,0,25,9217,2328,2023-11-15
凱基松山,48.8,0,1000,9217,2329,2023-11-15
凱基松山,48.9,100,0,9217,2329,2023-11-15
凱基松山,49.55,2000,1000,9217,2329,2023-11-15
凱基松山,49.75,0,1000,9217,2329,2023-11-15
凱基松山,49.85,4000,1000,9217,2329,2023-11-15
凱基松山,49.9,0,1000,9217,2329,2023-11-15
凱基松山,49.95,0,2000,9217,2329,2023-11-15
凱基松山,50.0,1000,0,9217,2329,2023-11-15
凱基松山,50.1,0,15000,9217,2329,2023-11-15
凱基松山,50.4,1000,2000,9217,2329,2023-11-15
凱基松山,576.0,0,30,9217,2330,2023-11-15
凱基松山,577.0,1000,2085,9217,2330,2023-11-15
凱基松山,578.0,106,1300,9217,2330,2023-11-15
凱基松山,579.0,1,3415,9217,2330,2023-11-15
凱基松山,580.0,10,24633,9217,2330,2023-11-15
凱基松山,581.0,0,6000,9217,2330,2023-11-15
凱基松山,583.0,1000,1000,9217,2330,2023-11-15
凱基松山,28.1,1000,0,9217,2331,2023-11-15
凱基松山,28.4,1000,0,9217,2331,2023-11-15
凱基松山,28.45,0,1000,9217,2331,2023-11-15
凱基松山,28.5,0,1000,9217,2331,2023-11-15
凱基松山,28.25,5000,0,9217,2337,2023-11-15
凱基松山,28.3,1000,0,9217,2337,2023-11-15
凱基松山,28.35,1100,0,9217,2337,2023-11-15
凱基松山,45.9,20000,0,9217,2340,2023-11-15
凱基松山,26.65,0,1000,9217,2344,2023-11-15
凱基松山,26.9,0,7000,9217,2344,2023-11-15
凱基松山,26.95,0,5000,9217,2344,2023-11-15
凱基松山,27.0,0,20000,9217,2344,2023-11-15
凱基松山,27.1,0,1000,9217,2344,2023-11-15
凱基松山,27.3,0,2000,9217,2344,2023-11-15
凱基松山,27.45,1000,3000,9217,2344,2023-11-15
凱基松山,27.5,0,12000,9217,2344,2023-11-15
凱基松山,27.55,0,3000,9217,2344,2023-11-15
凱基松山,27.75,20000,0,9217,2344,2023-11-15
凱基松山,27.8,0,1000,9217,2344,2023-11-15
凱基松山,27.85,0,2000,9217,2344,2023-11-15
凱基松山,27.9,20000,1000,9217,2344,2023-11-15
凱基松山,27.95,10000,0,9217,2344,2023-11-15
凱基松山,28.0,0,15683,9217,2344,2023-11-15
凱基松山,28.05,0,1000,9217,2344,2023-11-15
